tweet_language,count
in,1103433
en,660476
zh,569945
und,261103
ar,47905
pt,41125
ja,37021
tl,33026
ko,26109
es,18175
tr,11274
ht,8860
et,7320
pl,5460
de,4062
nl,3887
fr,3846
hi,3289
eu,3050
th,3021
it,2619
fi,1945
cy,1945
no,1890
lt,1787
hu,1677
lv,1579
cs,1426
ro,1325
da,1305
sv,1222
ru,1018
is,1014
ca,620
sl,584
vi,519
ur,193
fa,79
bo,78
uk,27
el,24
ne,15
ta,10
iw,9
bg,8
bn,7
kn,6
ka,6
ml,4
sr,2
ps,2
gu,1
mr,1
