language,count
en,1754952
ur,1516325
und,469826
in,220929
hi,168894
tl,84529
fa,40804
et,27108
ht,22220
ar,19790
nl,11663
es,8809
tr,7711
pl,6667
pt,6425
fi,5576
fr,4833
de,4682
ca,4400
cs,3294
it,3217
cy,3179
sv,3090
eu,2399
ro,2334
da,2246
vi,2036
hu,1819
lv,1665
lt,1457
sl,1308
no,1290
sd,877
ps,664
is,610
ja,447
zh,121
pa,54
ru,31
ko,23
ta,14
th,9
uk,8
mr,8
el,7
bn,7
kn,4
si,3
ckb,2
gu,2
ne,2
iw,1
hy,1
bg,1
ml,1
