tweet_language,count
ar,586684
en,166935
und,62446
zh,54416
es,47856
pt,21045
tl,20754
fr,4216
ja,3055
id,2981
in,2961
it,987
tr,985
de,897
et,861
fa,790
hi,739
nl,663
ht,603
pl,578
vi,405
fi,335
sv,334
da,264
ko,264
hu,260
sl,220
lv,216
lt,199
ur,197
sk,154
ro,147
no,123
cy,120
eu,103
ca,84
cs,82
is,74
th,46
ru,34
hr,28
sd,11
ckb,8
ps,8
bs,7
bg,5
el,4
bo,4
ta,3
uk,3
ug,2
hy,2
mr,2
ne,1
ka,1
sr,1
