language,count
en,176524
und,72625
hi,14077
ur,3901
in,2130
tl,1202
et,492
es,409
bn,366
da,226
fr,213
fa,211
ht,189
de,177
tr,171
fi,150
nl,125
ca,116
ta,110
mr,104
ro,100
pt,84
ar,80
pl,73
it,63
sv,63
cy,61
ne,44
eu,43
no,41
lt,40
lv,40
hu,31
sl,23
cs,22
sd,16
ml,16
gu,10
is,9
vi,8
pa,7
te,4
zh,3
ru,2
ja,2
iw,2
ps,1
or,1
kn,1
